,expression,reading,meaning
331,～すぎ,～すぎ,"past; to exceed, ~ too much"
332,少ない,すくない,a little; a few
333,すぐに,すぐに,"immediately, soon"
334,少し,すこし,"little, few"
335,涼しい,すずしい,"cool, refreshing (in reference to weather)"
336,～ずつ,～ずつ,at a time
337,ストーブ,ストーブ,heater (lit: stove)
338,スプーン,スプーン,spoon
339,スポーツ,スポーツ,sport(s)
340,ズボン,ズボン,trousers
341,住む,すむ,"to reside, to live in"
342,する,する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)"
343,座る,すわる,to sit
344,背,せい,"(one's) height, stature"
345,生徒,せいと,student; pupil
346,セーター,セーター,sweater
347,石鹸,せっけん,soap
348,背広,せびろ,men's suit
349,狭い,せまい,narrow; not spacious
350,ゼロ,ゼロ,zero
351,千,せん,thousand
352,先月,せんげつ,last month
353,先週,せんしゅう,last week
354,先生,せんせい,"teacher, professor; master; doctor"
355,洗濯,せんたく,"washing, laundry"
356,全部,ぜんぶ,"all, entire, whole"
357,そう; そうです,そう; そうです,"yes; appears, to be the case"
358,掃除,そうじ (する),"cleaning, sweeping"
359,そうして; そして,そうして; そして,"and, like that"
360,そこ,そこ,"that place, there; bottom, sole"
361,そちら,そちら,over there
362,そっち,そっち,over there
363,外,そと,"outside, exterior"
364,その,その,that
365,そば,そば,"near, close, beside; Japanese traditional buckwheat noodle"
366,空,そら,sky
367,それ,それ,that one
368,それから,それから,"and then, after that"
369,それでは,それでは,"in that situation, well then..."
370,～台,～だい,counter for vehicles; machines
371,大学,だいがく,college; university
372,大使館,たいしかん,embassy
373,大丈夫,だいじょうぶ,It's ok (all right); No need to worry; Everything is under control
374,大好き,だいすき,"very like-able, like very much"
375,大切,たいせつ,important
376,台所,だいどころ,kitchen
377,大変,たいへん,"very; difficult, hard"
378,高い,たかい,"tall, high; expensive"
379,～だけ,～だけ,"only ~, just ~, as ~"
380,沢山,たくさん,"many, much"
381,タクシー,タクシー,taxi
382,出す,だす,to take (something) out; to hand in (something)
383,～たち,～たち,plural suffix
384,立つ,たつ,to stand up
385,たて,たて,"length, height"
386,建物,たてもの,building
387,楽しい,たのしい,"enjoyable, fun"
388,頼む,たのむ,"to request, to ask (a favor)"
389,たばこ,たばこ,"tobacco, cigarettes"
390,多分,たぶん,"perhaps, probably, maybe"
391,食べ物,たべもの,food
392,食べる,たべる,to eat
393,卵,たまご,egg
394,誰,だれ,who
395,誰か,だれか,someone
396,誕生日,たんじょうび,birthday
397,段々,だんだん,"gradually, by degrees"
398,小さい,ちいさい,"small, little"
399,小さな,ちいさな,"small, little"
400,近い,ちかい,"near, close by, short"
401,違う,ちがう,to be different; to differ; wrong
402,近く,ちかく,nearby; in the neighborhood
403,地下鉄,ちかてつ,"underground train, subway"
404,地図,ちず,a map
405,父,ちち,(my) father
406,茶色,ちゃいろ,brown
407,茶碗,ちゃわん,rice bowl
408,～中,～ちゅう,"during, while ~ing"
409,丁度,ちょうど,"just, right, exactly"
410,ちょっと,ちょっと,"a little, somewhat; just a little, somewhat"
411,一日,ついたち,one day; first day of the month
412,使う,つかう,to use
413,疲れる,つかれる,to get (become) tired; to become fatigued
414,次,つぎ,next
415,着く,つく,"to arrive at, to reach"
416,机,つくえ,desk
417,作る,つくる,"to make, to create"
418,つける,つける,"to turn on (e.g., a light); to take"
419,勤める,つとめる,to work (for)
420,つまらない,つまらない,"boring, dull; insignificant"
421,冷たい,つめたい,"cold (things, people)"
422,強い,つよい,"strong, powerful"
423,手,て,hand
424,テープ,テープ,tape
425,テープレコーダー,テープレコーダー,tape recorder
426,テーブル,テーブル,table
427,出かける,でかける,to go out; to depart
428,手紙,てがみ,letter
429,できる,できる,to be able to (to accomplish)
430,出口,でぐち,an exit
431,テスト,テスト,test
432,では,では,"then, well, so"
433,デパート,デパート,(abbr.) department store
434,でも,でも,"but, however"
